Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1498591441465838	418.71	680.44	3.81	575.98	904.07	3.75
1498591441469206	416.63	679.82	3.81	574.68	903.72	3.75
1498591441472545	412.17	681.27	3.81	575.51	903.15	3.75
1498591441475911	416.20	677.50	3.81	574.78	906.92	3.75
1498591441479269	415.53	679.05	3.81	574.73	906.08	3.75
1498591441482547	416.18	680.47	3.81	574.71	905.19	3.75
1498591441485942	416.75	681.43	3.82	575.92	903.48	3.75
1498591441489230	414.95	680.44	3.81	575.42	903.72	3.74
1498591441492589	414.76	680.71	3.80	578.42	906.39	3.75
1498591441495838	416.74	679.78	3.81	574.96	905.47	3.75
1498591441499182	408.99	681.67	3.80	575.61	905.04	3.75
1498591441502544	413.58	678.68	3.80	575.35	905.25	3.75
1498591441505904	414.32	678.44	3.80	575.40	901.47	3.75
1498591441509204	417.17	679.62	3.81	576.11	904.18	3.75
1498591441512529	416.17	675.55	3.80	576.14	907.07	3.75
1498591441515880	414.43	678.50	3.80	577.27	903.17	3.75
